tool,source_url,author,date,claim,claim_type,confidence,verified,notes
Claude Code,https://x.com/zachlloydtweets/status/2020195858114048197,@zachlloydtweets,2026-02-07,"Claude Code improves productivity but lacks key GUI affordances.",sentiment,Low,false,"HTTP 403 from unauthenticated CLI on 2026-03-06; treat as candidate evidence only."
Claude Code,https://x.com/jskalc/status/2025891741375590905,@jskalc,2026-02-23,"Switching to Claude Code/Codex increased indie SaaS coding throughput.",switch_story,Low,false,"HTTP 403 from unauthenticated CLI on 2026-03-06."
Claude Code,https://x.com/Arindam_1729/status/2020868622957301817,@Arindam_1729,2026-02-09,"Claude Code helped structure Next.js project improvements step-by-step.",sentiment,Low,false,"HTTP 403 from unauthenticated CLI on 2026-03-06."
Claude Code,https://x.com/dani_avila7/status/2024571921212358709,@dani_avila7,2026-02-19,"Multi-agent Claude Code worktree setup improved complex dev workflow.",workflow_note,Low,false,"HTTP 403 from unauthenticated CLI on 2026-03-06."
Claude Code,https://x.com/claudeai/status/2024907535145468326,@claudeai,2026-02-20,"Claude Code Security preview focused on codebase vulnerability detection.",security_claim,Low,false,"HTTP 403 from unauthenticated CLI on 2026-03-06."
Claude Code,https://x.com/kyle_e_walker/status/2019789596586881499,@kyle_e_walker,2026-02-06,"Claude Code enabled rapid GIS mapping workflows in class projects.",sentiment,Low,false,"HTTP 403 from unauthenticated CLI on 2026-03-06."
Claude Code,https://x.com/charlesxjyang/status/2029914854438342881,@charlesxjyang,2026-03-06,"Low adoption in science contexts despite interest at top institutions.",procurement_or_adoption,Low,false,"HTTP 403 from unauthenticated CLI on 2026-03-06."
Cursor,https://x.com/rozzabuilds/status/2022972165432451178,@rozzabuilds,2026-02-15,"Developers still default to VS Code over Cursor for daily use.",sentiment,Low,false,"HTTP 403 from unauthenticated CLI on 2026-03-06."
Cursor,https://x.com/manavvnotop/status/2028037809597215097,@manavvnotop,2026-03-01,"Cursor infra change reportedly reduced vector-store costs.",product_update,Low,false,"HTTP 403 from unauthenticated CLI on 2026-03-06."
Cursor,https://x.com/dhirajdotdev/status/2019541974232232183,@dhirajdotdev,2026-02-05,"Cursor UI workflow switched from pure CSS to image-based approach.",workflow_note,Low,false,"HTTP 403 from unauthenticated CLI on 2026-03-06."
Cursor,https://x.com/TheOneAndArjun/status/2019555128739860889,@TheOneAndArjun,2026-02-05,"Model switch in Cursor produced unexpected output behavior.",failure_mode,Low,false,"HTTP 403 from unauthenticated CLI on 2026-03-06."
Cursor,https://x.com/BonsaiiBoii/status/2028244572321784305,@BonsaiiBoii,2026-03-01,"Cursor-related navigation issues reported in controller-driven UI context.",failure_mode,Low,false,"HTTP 403 from unauthenticated CLI on 2026-03-06."
Copilot,https://x.com/viermeelectric/status/2023101909884653769,@viermeelectric,2026-02-15,"User switched away from Copilot-centered workflow.",switch_story,Low,false,"HTTP 403 from unauthenticated CLI on 2026-03-06."
Copilot,https://x.com/0xManu3l/status/2021267562290610683,@0xManu3l,2026-02-10,"User reported moving from Copilot to another tool after limit friction.",switch_story,Low,false,"HTTP 403 from unauthenticated CLI on 2026-03-06."
Copilot,https://x.com/mccloskey_br/status/2021088463580258660,@mccloskey_br,2026-02-10,"Self-hosting preference linked to concerns about platform incidents and training data.",procurement_or_adoption,Low,false,"HTTP 403 from unauthenticated CLI on 2026-03-06."
Copilot,https://x.com/mousemastery/status/2027039319303565325,@mousemastery,2026-02-26,"User switched from Claude to Copilot and reported better outcome for specific project.",switch_story,Low,false,"HTTP 403 from unauthenticated CLI on 2026-03-06."
Codex,https://x.com/Andydy42/status/2025126206061117952,@Andydy42,2026-02-21,"CTO switch story comparing Claude Code and Codex experiences.",switch_story,Low,false,"HTTP 403 from unauthenticated CLI on 2026-03-06."
Codex,https://x.com/jneu_net/status/2028810041797865545,@jneu_net,2026-03-03,"Integrated Claude/Cursor/Codex/Copilot workflows reduced custom scripting.",sentiment,Low,false,"HTTP 403 from unauthenticated CLI on 2026-03-06."
Claude Code,https://x.com/0x0SojalSec/status/2027828109735858220,@0x0SojalSec,2026-02-28,"Security workflow required stronger payload integration to find deeper issues.",failure_mode,Low,false,"HTTP 403 from unauthenticated CLI on 2026-03-06."
Claude Code,https://x.com/karankendre/status/2025098247283638446,@karankendre,2026-02-21,"Report that secure-by-default output quality was inconsistent.",failure_mode,Low,false,"HTTP 403 from unauthenticated CLI on 2026-03-06."
Claude,https://x.com/The_Cyber_News/status/2026831590710804524,@The_Cyber_News,2026-02-26,"Post described jailbreak-related exploit generation concerns.",security_claim,Low,false,"HTTP 403 from unauthenticated CLI on 2026-03-06."
Claude Code,https://x.com/The_Cyber_News/status/2027307367176806859,@The_Cyber_News,2026-02-27,"Post described config-related RCE/API-key theft risk.",security_claim,Low,false,"HTTP 403 from unauthenticated CLI on 2026-03-06."
Enterprise,https://x.com/thenanyu/status/2028900273381621771,@thenanyu,2026-03-03,"Enterprise suggestion to pair coding tools with async agent patterns.",procurement_or_adoption,Low,false,"HTTP 403 from unauthenticated CLI on 2026-03-06."
Enterprise,https://x.com/RyanJAyala/status/2029942669527470087,@RyanJAyala,2026-03-06,"Terminal-first UX cited as adoption blocker for non-technical users.",procurement_or_adoption,Low,false,"HTTP 403 from unauthenticated CLI on 2026-03-06."
Enterprise,https://x.com/noahzweben/status/2029718251182379466,@noahzweben,2026-03-06,"Team and enterprise rollout note highlighted admin control needs.",procurement_or_adoption,Low,false,"HTTP 403 from unauthenticated CLI on 2026-03-06."
